project_id,title,release_date,type_of_project,track_count
1,Single,,,
2,Echoes Of The Ghetto,13/01/2026,EP,6
3,A Taste Of The African King,26/01/2026,Mixtape,12
4,Safa,20/09/2024,Album,14
5,Konekt,02/02/2024,Album,8
6,Manacles Of A Shatta,20/04/2020,EP,7
7,Wonder Boy,19/10/2019,Album,13
8,Hbd Mixtape,01/12/2018,EP,4
9,Reign,13/10/2018,Album,17
10,After The Storm,29/04/2016,Album,22
11,Million Miles Mixtape,31/03/2015,Mixtape,15
12,Voice Of The Crown [Ep],07/08/2025,EP,5
13,The Interface,18/02/2026,EP,8
14,Lambo,25/02/2026,EP,4
15,Maali,25/03/2023,Album,10
16,Others(albums by others),,,
17,G.O.G Chaff,19/11/2021,EP,4
