,id,song_id,platform_name,platform_url,views,likes,comments
0,1,1,YouTube,https://www.youtube.com/watch?v=H65rC1PC6P0,30955.0,4385.0,588.0
1,2,2,YouTube,https://www.youtube.com/watch?v=Fx6CyaiUQOg,29849.0,4155.0,627.0
2,3,3,YouTube,https://www.youtube.com/watch?v=G89t_2kynjc,35002.0,4586.0,618.0
3,4,4,YouTube,https://www.youtube.com/watch?v=TMwq7cwrN00,126722.0,11588.0,1380.0
4,5,5,YouTube,https://www.youtube.com/watch?v=ZaAvCBnKT2Y,226545.0,13574.0,1641.0
5,6,6,YouTube,https://www.youtube.com/watch?v=7htxUqzKvgk,33417.0,3838.0,504.0
6,7,7,YouTube,https://www.youtube.com/watch?v=1RM5cO1znfc,42537.0,4683.0,651.0
7,8,8,YouTube,https://www.youtube.com/watch?v=PuGvRDzqQEM,65555.0,6635.0,1043.0
8,9,9,YouTube,https://www.youtube.com/watch?v=jsWsKgie53o,62250.0,5421.0,789.0
9,10,10,YouTube,https://www.youtube.com/watch?v=rMx0QJ9bPhs,43794.0,6128.0,764.0
10,11,11,YouTube,https://www.youtube.com/watch?v=tCSMF8AJs5o,30090.0,2974.0,443.0
11,12,12,YouTube,https://www.youtube.com/watch?v=ATSdF7R6vBo,46699.0,3824.0,548.0
12,13,13,YouTube,https://www.youtube.com/watch?v=6RlUWND2h98,32784.0,3067.0,367.0
13,14,14,YouTube,https://www.youtube.com/watch?v=ASBRtaH4E_g,81948.0,4100.0,477.0
14,15,15,YouTube,https://www.youtube.com/watch?v=OI4Xv4AlEeQ,25928.0,2374.0,260.0
15,16,16,YouTube,https://www.youtube.com/watch?v=bwlrtfurKpI,35404.0,2860.0,400.0
16,17,17,YouTube,https://www.youtube.com/watch?v=AUvEdOiK8IM,34678.0,3270.0,492.0
17,18,18,YouTube,https://www.youtube.com/watch?v=Zu2Bf_fjToc,50643.0,4562.0,678.0
18,19,19,YouTube,https://www.youtube.com/watch?v=Wnx8lnWzYBk,34465.0,3477.0,437.0
19,20,20,YouTube,https://www.youtube.com/watch?v=KxXiCLFiHSI,60812.0,5559.0,709.0
20,21,21,YouTube,https://www.youtube.com/watch?v=8cZZTypsFjM,40210.0,4725.0,897.0
21,22,22,YouTube,https://www.youtube.com/watch?v=hzMFfj1uKy0,49125.0,5122.0,941.0
22,23,23,YouTube,https://www.youtube.com/watch?v=tcbbOIzRIUQ,90772.0,6602.0,1489.0
23,24,24,YouTube,https://www.youtube.com/watch?v=jLmD9P2zrvc,67173.0,5558.0,1012.0
24,25,25,YouTube,https://www.youtube.com/watch?v=CwGiLAU4fFw,55290.0,4694.0,592.0
25,26,26,YouTube,https://www.youtube.com/watch?v=a_D6VrkxFnQ,53619.0,4478.0,601.0
26,27,27,YouTube,https://www.youtube.com/watch?v=Fvh30wzfAsU,73165.0,6666.0,1393.0
27,28,28,YouTube,https://www.youtube.com/watch?v=oO6PP4sF5_w,109749.0,7924.0,1694.0
28,29,29,YouTube,https://www.youtube.com/watch?v=ZzvS6-a3kHs,238823.0,10959.0,2163.0
29,30,30,YouTube,https://www.youtube.com/watch?v=-cjGsEjlr2s,37969.0,2781.0,279.0
30,31,31,YouTube,https://www.youtube.com/watch?v=bBijqfNs6vA,22019.0,1997.0,267.0
31,32,32,YouTube,https://www.youtube.com/watch?v=xfEAVM_tY-0,31149.0,2244.0,287.0
32,33,33,YouTube,https://www.youtube.com/watch?v=c4xCxzjwzoQ,39015.0,3249.0,362.0
33,34,34,YouTube,https://www.youtube.com/watch?v=ClW9SwGKfWM,16309.0,1450.0,150.0
34,35,35,YouTube,https://www.youtube.com/watch?v=pynafWnJJSY,18013.0,1585.0,165.0
35,36,36,YouTube,https://www.youtube.com/watch?v=QbZljpzXaR8,21362.0,1816.0,192.0
36,37,37,YouTube,https://www.youtube.com/watch?v=8q6cK0k3-uw,33725.0,2740.0,339.0
37,38,38,YouTube,https://www.youtube.com/watch?v=cA7k-WCjsHs,28792.0,2159.0,298.0
38,39,39,YouTube,https://www.youtube.com/watch?v=860F2shYGMk,29582.0,2771.0,400.0
39,40,40,YouTube,https://www.youtube.com/watch?v=0v8A9m0IOPM,22456.0,2188.0,299.0
40,41,41,YouTube,https://www.youtube.com/watch?v=RpwJSoU6pb4,30013.0,2986.0,461.0
41,42,42,YouTube,https://www.youtube.com/watch?v=iaJIKj1xzdI,135215.0,10088.0,1059.0
42,43,43,YouTube,https://www.youtube.com/watch?v=d_68b-PeQ04,119826.0,7226.0,1043.0
43,44,44,YouTube,https://www.youtube.com/watch?v=wOtA1JNKFbc,37625.0,3626.0,564.0
44,45,45,YouTube,https://www.youtube.com/watch?v=lMvc5NvnHRQ,38684.0,3664.0,464.0
45,46,46,YouTube,https://www.youtube.com/watch?v=Az0Dg8EvsxY,70134.0,5744.0,893.0
46,47,47,YouTube,https://www.youtube.com/watch?v=lugpidFr2iU,74516.0,4891.0,831.0
47,48,48,YouTube,https://www.youtube.com/watch?v=lgJWzfLyNsU,64195.0,4606.0,761.0
48,49,49,YouTube,https://www.youtube.com/watch?v=r_35xRl1RMM,180691.0,10994.0,1950.0
49,50,50,YouTube,https://www.youtube.com/watch?v=YhPYNHX80DY,135449.0,7888.0,835.0
50,51,51,YouTube,https://www.youtube.com/watch?v=Ts7JxrkHUEE,76734.0,4382.0,718.0
51,52,52,YouTube,https://www.youtube.com/watch?v=HV_Ck-x2nAk,66690.0,5076.0,970.0
52,53,53,YouTube,https://www.youtube.com/watch?v=eMJpE0ESBf0,29732.0,2675.0,421.0
53,54,54,YouTube,https://www.youtube.com/watch?v=k2ZJvIRnoM0,188273.0,11623.0,1228.0
54,55,55,YouTube,https://www.youtube.com/watch?v=6_dGOg8Yr3w,46410.0,4362.0,709.0
55,56,56,YouTube,https://www.youtube.com/watch?v=_TmgznNmgEs,42890.0,3830.0,507.0
56,57,57,YouTube,https://www.youtube.com/watch?v=sgA9XUHC7Jg,71155.0,4514.0,666.0
57,58,58,YouTube,https://www.youtube.com/watch?v=_dPhsIlWwbo,105002.0,5282.0,895.0
58,59,59,YouTube,https://www.youtube.com/watch?v=vACYvqhZ32I,57611.0,3821.0,588.0
59,60,60,YouTube,https://www.youtube.com/watch?v=UePIPBGw2L4,51507.0,3597.0,424.0
60,61,61,YouTube,https://www.youtube.com/watch?v=Cl6WbG13oyk,46336.0,3291.0,396.0
