,song_id,project_id,title,artiste_name,audio,video,release_date_original,producers,genre,duration,release_date_original,release_date
0,1.0,1.0,4Lyf - Freestyle (Audio Slide),Shatta Wale,True,False,2026-03-09 01:39:22,,,03:15,2026-03-09,2026-03-09
1,2.0,1.0,God People (Audio Slide),Shatta Wale,True,False,2026-03-09 01:17:19,,,02:42,2026-03-09,2026-03-09
2,3.0,1.0,No No No (Audio Slide),Shatta Wale,True,False,2026-03-09 01:07:19,,,02:37,2026-03-09,2026-03-09
3,4.0,2.0,Lonely Victory (Official Video),Shatta Wale,False,True,2026-03-07 20:23:28,,,02:35,2026-03-07,2026-03-07
4,5.0,1.0,"Shatta Wale, DJ Mac, Crash Dummy - Danger (Official Music Video ) | Wyfl Riddim",Shatta Wale,False,True,2026-03-04 18:19:52,,,02:19,2026-03-04,2026-03-04
5,6.0,14.0,Shatta Movement Army (Audio Slide),Shatta Wale,True,False,2026-03-01 14:06:04,,,03:13,2026-03-01,2026-03-01
6,7.0,14.0,Tek Di Yellow (Audio Slide),Shatta Wale,True,False,2026-02-27 22:33:57,,,03:01,2026-02-27,2026-02-27
7,8.0,14.0,Are You Sure (Audio Slide),Shatta Wale,True,False,2026-02-25 23:53:36,,Afrobeats,02:13,2026-02-25,2026-02-25
8,9.0,14.0,When We Deh Come (Audio Slide),Shatta Wale,True,False,2026-02-25 23:46:54,,,02:00,2026-02-25,2026-02-25
9,10.0,1.0,48Hrs (Visualizer),Shatta Wale,False,True,2026-02-24 18:50:18,,,03:32,2026-02-24,2026-02-24
10,11.0,1.0,Auto-Pilot (Audio Slide),Shatta Wale,True,False,2026-02-22 02:11:25,,,02:52,2026-02-22,2026-02-22
11,12.0,13.0,Spirit Bigger (Audio Slide),Shatta Wale,True,False,2026-02-19 05:54:26,,Afro - Pop,02:40,2026-02-19,2026-02-19
12,13.0,13.0,Genzi (Audio Slide),Shatta Wale,True,False,2026-02-19 05:18:05,,Dancehall / Afrobeat,03:51,2026-02-19,2026-02-19
13,14.0,13.0,Yawa Ni (Audio Slide),Shatta Wale,True,False,2026-02-19 05:15:13,,Dancehall / Afrobeat,02:32,2026-02-19,2026-02-19
14,15.0,13.0,Toorlet (Audio Slide),Shatta Wale,True,False,2026-02-19 05:14:34,,Dancehall / Afrobeat,02:28,2026-02-19,2026-02-19
