"title","artiste_name","video","audio","views","likes","comments","like_pct","comment_pct","engagement_rate","promotion_priority"
"Soft Life (Audio Slide)","Shatta Wale","",1,30013,2986,461,"9.95","1.54","11.49","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Dog Eat Dog (Audio Slide)","Shatta Wale","",1,34465,3477,437,"10.09","1.27","11.36","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Higher (Audio Slide)","Shatta Wale","",1,35165,2842,324,"8.08","0.92","9.00","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"No Camera (Audio Slide)","Shatta Wale","",1,19390,1793,173,"9.25","0.89","10.14","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"48Hrs (Visualizer)","Shatta Wale",1,"",43794,6128,764,"13.99","1.74","15.74","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"African Dancehall (Audio Slide)","Shatta Wale","",1,66101,5297,855,"8.01","1.29","9.31","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Toorlet (Audio Slide)","Shatta Wale","",1,25928,2374,260,"9.16","1.00","10.16","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Splurge (Audio Slide)","Shatta Wale","",1,39676,3742,545,"9.43","1.37","10.81","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Worldwide Whine (Audio Slide)","Shatta Wale","",1,37625,3626,564,"9.64","1.50","11.14","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Vip Girl (Audio Slide)","Shatta Wale","",1,38684,3664,464,"9.47","1.20","10.67","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Silence Is Not Power (Audio Slide)","Shatta Wale","",1,67173,5558,1012,"8.27","1.51","9.78","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Born Fi Par (Audio Slide)","Shatta Wale","",1,70134,5744,893,"8.19","1.27","9.46","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"How Far","Shatta Wale","",1,31076,3600,451,"11.58","1.45","13.04","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Kll ‘Em (Audio Slide ) Prod By Gigz","Shatta Wale","",1,34911,2864,307,"8.20","0.88","9.08","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Auto-Pilot (Audio Slide)","Shatta Wale","",1,30090,2974,443,"9.88","1.47","11.36","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Spirit Bigger (Audio Slide)","Shatta Wale","",1,46699,3824,548,"8.19","1.17","9.36","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Rolls Royce (Audio Slide)","Shatta Wale","",1,89901,8365,1429,"9.30","1.59","10.89","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Word Is My Bond (Audio Slide)","Shatta Wale","",1,22019,1997,267,"9.07","1.21","10.28","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
"Lonely Victory (Official Video)","Shatta Wale",1,"",126722,11588,1380,"9.14","1.09","10.23","🔥 HIGH PRIORITY - Hidden Gem, Needs Promotion"
