"month_name","month_number","average_views","songs_released","total_views"
"Apr","4","1100859","58","63849814"
"Mar","3","852032","85","72422725"
"Dec","12","611027","49","29940302"
"Jul","7","456886","42","19189193"
"May","5","452746","61","27617494"
"Feb","2","339316","95","32234990"
"Aug","8","328076","44","14435365"
"Jun","6","234129","59","13813585"
"Sep","9","232849","89","20723600"
"Jan","1","214536","96","20595424"
"Oct","10","173928","89","15479634"
"Nov","11","162280","126","20447302"
