"title","platform_name","audio","views"
"Freedom (Audio Slide)","YouTube",1,2001190
"My Level (Audio Slide)","YouTube",1,1341627
"Only One Man (Audio Slide)","YouTube",1,1299178
"On God (Audio Slide)","YouTube",1,904824
"Birthday (Official Audio)","YouTube",1,802733
"Jail Man (Audio Slide)","YouTube",1,791146
"Allo Ft. Kwaw Kese (Audio Slide)","YouTube",1,714257
"Obordorbidi (Audio Slide)","YouTube",1,705748
"Like Jesus [Willie Roi Tribute] (Audio Slide)","YouTube",1,659070
"Ay3 Halfcast (Audio Slide)","YouTube",1,617669
