"title","platform_name","video","views"
"On God (Official Video)","YouTube",1,26549521
"Taking Over Ft. Joint 77, Addi Self & Captan (Official Video","YouTube",1,26073872
"Ayoo (Official Video)","YouTube",1,19884699
"My Level (Official Video)","YouTube",1,16849022
"Bullet Proof (Official Video)","YouTube",1,13310265
"Bumper (Official Video)","YouTube",1,11435852
"Baby (Chop Kiss) [Official Video]","YouTube",1,9959490
"Forgetti Ft. Joint 77, Addi Self, Pope Skinny, Captan & Natty Lee (Official Video)","YouTube",1,8307009
"Melissa (Official Video)","YouTube",1,7183475
"Shatta Wale Ft Shatta Michy - Low Tempo (Official Video)","YouTube",1,6843397
