"title","platform_name","video","likes"
"On God (Official Video)","YouTube",1,200863
"Taking Over Ft. Joint 77, Addi Self & Captan (Official Video","YouTube",1,114436
"Ayoo (Official Video)","YouTube",1,87486
"My Level (Official Video)","YouTube",1,83337
"Hajia Bintu Ft. Ara B & Captan (Official Video)","YouTube",1,68882
"Melissa (Official Video)","YouTube",1,49478
"Killa Ji Mi (Official Video)","YouTube",1,49419
"Bullet Proof (Official Video)","YouTube",1,49392
"Baby (Chop Kiss) [Official Video]","YouTube",1,47834
"1 Don (Official Video)","YouTube",1,46500
