"title","platform_name","video","comments"
"On God (Official Video)","YouTube",1,18724
"Accra Ft P.Blood, J.Quaye, Blakid,Z. Ranking,Kinjunia,Sanaa,D.Gennah,B.Cray, Shattonzy","YouTube",1,6620
"Street Crown","YouTube",1,5629
"Hajia Bintu Ft. Ara B & Captan (Official Video)","YouTube",1,5334
"1 Don (Official Video)","YouTube",1,5269
"Taking Over Ft. Joint 77, Addi Self & Captan (Official Video","YouTube",1,5184
"African Mandiba (Official Video)","YouTube",1,4815
"Killa Ji Mi (Official Video)","YouTube",1,4667
"My Level (Official Video)","YouTube",1,4514
"Cash Out (Official Lyric Video)","YouTube",1,4319
